specialty,product-cat,caption,price,description,weight,vendor,order_date,expiry_date,quantity,unit_cost,total_cost
OPT Equipments,OT Lights,"O.T Light Ceiling Halogen Twin Model (19""+19"")",79016.34,"Main & satellite dome 19"" single reflector.Â Each fitted with a special halogen bulb of 24V-..",0.000497512,HI-TECH LAB PRODUCTS,16/02/2025,16/02/2029,30,7901.634,237049.02
Lab Plasticware,Atomic Models,Crystal Model Set,329.22,"These Crystal Model Sets contain different coloured jacks (Red, Black & White) & connectors ..",0.000497512,ACCURATE MACHINES,16/08/2023,16/08/2027,47,32.922,1547.334
Ortho Aid,Cervical Splints,Ambulance Collar,515.55,"Size :        Small, Medium, Large        Specifications :        Single piece design  with semi-rig..",0.000497512,Fortis Healthcare Limited,22/07/2022,22/07/2026,30,51.555,1546.65
Surgery,Instrument Kit,Microsurgery Glaucoma Set,11999,Microsurgery Glaucoma SetPack of 25 Pcs.High quality of surgical instrument kitCarry bag includedS. ..,0.001492537,Dolphin Surgical,9/11/2023,9/11/2027,34,1199.9,40796.6
Urology,Catheter,Silicone Foley catheter,345,16Fr 30cc,0.000497512,Becton Dickinson,12/6/2024,12/6/2028,7,34.5,241.5
Surgery,Forceps,Tungsten Carbide (TC) Mayo Hegar Needle Holder,1899,"Tungsten Carbide (TC) Mayo Hegar Needle HolderSize approx. 6""SKUSize965706""965717""965728""..",0.001492537,Karl Storz,7/8/2024,7/8/2028,13,189.9,2468.7
Ortho Aid,Fracture Aids,Exercising Ball,114.45,Size :        Universal        Specifications :        Soft version of  polyurethane foam for ..,0.000497512,Rama Surgical House,5/10/2024,5/10/2028,13,11.445,148.785
Surgery,Retractor,Ramus Retractor,369,Ramus Retractor 11X70 mm..,0.001492537,Intersurgical,2/3/2023,2/3/2027,2,36.9,73.8
Anesthesia Equipment,CPR Mask,Pocket CPR Mask,315,Convenient ready to useCrystal clear maskSafe and hygienicSuitable for supplementary oxygenComfort a..,0.00199005,Terumo,19/11/2022,19/11/2025,49,31.5,1543.5
Furniture,Hospital Trolleys,Mayo's Trolley Stainless Steel,10300.22,Overall Size 76L x 45W x 81H cmsÂ Tray Size S.S. : Approx: 56L x 40W cmsÂ Frame work S.S. re..,0.000497512,Fortis Healthcare Limited,8/1/2024,8/1/2028,19,1030.022,19570.418
Lab Plasticware,Racks & Stands,Test Tube Stand (Round) (Pack of 2 Pcs.),656.08,"A handy, little, space saver, this circular twelve place polypropylene test tube stand has four 25 m..",0.000497512,KLS Martin India,21/02/2023,21/02/2027,47,65.608,3083.576
Surgery,Suction Units - Electric Cum Manual,Suction Unit - Dual Power - (45 Ltrs./min) (Electric cum Manual),24416,"Housing: MS Powder Coated, SS Top on two wheelsCapacity (Electrical): -600mm Hg Â± 10 , 45 Ltrs/ minC..",0.001492537,Cook India,8/11/2024,8/11/2028,50,2441.6,122080
ENT Instruments,Curette,Antrum Curette Oval (Curved),459,Antrum Curette Oval (Curved)..,0.000497512,Ben Franklin Opticians,24/07/2024,24/07/2028,16,45.9,734.4
General,Cylinder,Oxygen Cylinder 2.0 Ltrs.,6490,"Empty Oxygen Cylinder, Water capacity 2.0 Litre. Supplied with F A Valve with Flowmeter and Pressur..",0.00199005,Vishal Surgitech,4/4/2024,4/4/2027,25,649,16225
Anesthesia Equipment,Oxygen Cylinder & Regulators,Oxygen Cylinder 3.0 Ltrs.,6749.6,"Empty Oxygen Cylinder, Water capacity 3.0 Litre.Supplied with F A Valve with Flowmeter and Pressure ..",0.00199005,Vishal Surgitech,20/10/2024,20/10/2027,21,674.96,14174.16
Lab Plasticware,Lab Bottles,Reagent Bottles (Narrow Mouth),500.32,"These Narrow Mouth Regent Bottles are available in polypropylene. The PP bottles are rigid, transluc..",0.000497512,Becton Dickinson,23/06/2024,23/06/2028,24,50.032,1200.768
Lab Equipment,Hot Air Sterilizers,"Hot Air Sterilizer, Double Wall , Universal Type, Upto 250ÂºC 27 Ltrs SS Chambers",22552.32,Upto  250ÂºC (Laboratory Electric Oven Universal Type)                Temperature  Thermostatically..,0.000497512,Reckitt Benckiser,14/01/2023,14/01/2027,14,2255.232,31573.248
Ortho Aid,Knee Calf & Ankle Splints,Anklet (Pair),309.75,"Size :        Small, Medium, Large, XLarge         Specifications :        Soft yarn with elastic  c..",0.000497512,Romsons,19/02/2023,19/02/2027,19,30.975,588.525
Neurology Instruments,Hammer,Queen Square Reflex Hammer with Pointed Stainless Steel Tip,239,"Pointed Stainless Steel Tip: The handle features a pointed stainless steel tip, which is perfect for..",0.000497512,Terumo,1/7/2023,1/7/2027,50,23.9,1195
Surgery,Instrument Kit,Dressing Instrument Kit,2464,You can also buy this product from our Amazon store.Buy Now    Dressing Instruments Set Co..,0.001492537,Shilpa Medicare Limited,11/10/2024,11/10/2028,4,246.4,985.6
Other Instruments,Mask,Pocket CPR Mask,315,NA,0.000497512,M/S IMADE TECHNOLOGY PRIVATE LIMITED,4/12/2024,4/12/2028,44,31.5,1386
General,Stethoscope,DulcetÂ® Paediatric/Neonatal Stethoscope,1299,"Solid Stainless Steel Chest Piece.
		High Acoustic Sensitivity.
		Brass Chrome Plated Metal Ring.
..",0.00199005,Siemens Healthineers,16/12/2022,16/12/2025,13,129.9,1688.7
Opthalmology Instruments,Hook,Jameson Muscle Hook,199,Stainless SteelReusablePremium Grade..,0.000497512,Delux Surgical,21/01/2023,21/01/2027,18,19.9,358.2
Rheumatology,Syringe,Disposable syringe,25,5ml luer lock,0.000497512,HI-TECH LAB PRODUCTS,9/2/2023,9/2/2027,8,2.5,20
Surgery,Forceps,Mosquito Artery Forceps Straight/Hemostatic Forceps,336,"Artery Forceps, Clamps and Snaps.Forgings from stainless steel.Silk matte satin finish.To clamp and ..",0.001492537,Poly Medicure,8/6/2022,8/6/2026,28,33.6,940.8
General,Height & Weight Scales,Mid Upper Arm Circumference (MUAC) Tape,19,Mid Upper Arm Circumference Tape - Child.MUAC tapes are predominately used to measure the upper arm ..,0.00199005,Intersurgical,21/08/2023,21/08/2026,25,1.9,47.5
Ortho Aid,Wrist & Elbow Splints,Finger Extension Splint,198.45,Size :        Universal        Specifications :        Malleable aluminium  used to keep inter..,0.000497512,Baxter,20/06/2023,20/06/2027,25,19.845,496.125
General,Height & Weight Scales,Digital Baby Weighing Scale,3699,Height scale to measure length of babyLarge scale size : 563 x 333 mmAccurately measures weight in 5..,0.00199005,Dolphin Surgical,23/03/2024,23/03/2027,42,369.9,15535.8
Surgery,Forceps,Kocherâ€™s Forceps Straight,319,Hemostatic ForcepsForgings from stainless steelSilk matte satin finishUsed mostly in general surgery..,0.001492537,Hindustan Syringes,4/1/2025,4/1/2029,39,31.9,1244.1
Rubber Products,Rectal Syringe,Rubber Infant / Rectal Syringe,220.66,The Infant Enema Syringe was made to relieve constipation in infants.The Length of the Nozel is 55 m..,0.000497512,Fresenius,26/06/2022,26/06/2026,38,22.066,838.508
Critical Care,Syringe Pump,Syringe pump compatible,196,50mlBecton Dickinson,0.000497512,Fresenius,23/09/2022,23/09/2026,27,19.6,529.2
Lab Plasticware,Conical Measures,Conical Measures,359.9,These Conical Measures are very good for measuring small quantities of reagent. Moulded in Polypropy..,0.000497512,Gesco Healthcare,7/7/2024,7/7/2028,36,35.99,1295.64
Sterilizers,Electric Autoclave,Front Loading Autoclave 15 Ltrs.,109103.98,"Class-N Front Loading Autoclave. With thermal vacuum, fully automatic with dry cycl..",0.000995025,Narang,8/12/2024,8/12/2027,30,10910.398,327311.94
Lab Plasticware,Pipette Accessories,Micro Tip Box (6 Pcs.),1003,The unique feature of these tip boxes is the improved robust hinge design which prevents the top fro..,0.000497512,Max Healthcare Institute Limited,21/03/2024,21/03/2028,6,100.3,601.8
Surgery,Scissors,Mayo Scissors (Curved) Bladed Blunt/Blunt,399,"To cut and dissect tissue.To cut sutures, clothing, bandages.More control and precision. Reduction o..",0.001492537,SISCO ,23/05/2024,23/05/2028,31,39.9,1236.9
OB/GYN Instruments,Vaginal Speculum Cusco / Duck Bill (Sims),Vaginal Speculum - Duck Bill (Sims),199,"Size:Â Small, Medium & LargeMaterial:Â Stainless Steel                                  ..",0.000497512,Poly Medicure,1/1/2025,1/1/2029,33,19.9,656.7
Lab Equipment,Hematocrit Centrifuge,Hematocrit Centrifuge (Digital Timer & RPM) 12 Capillary Tubes,34949,Item Code                  30022Â  View Price                  30023Â  View Price     ..,0.000497512,Lotus Surgicals,7/9/2024,7/9/2028,24,3494.9,83877.6
Surgery,Suction Units Manual,Foot Suction Unit - MS Base,6776,Housing: Powder Coated Heavy MS BaseCapacity:Â -600 mm Hg Â± 10 at 200ml per StrokePump Type:&nbs..,0.001492537,HI-TECH LAB PRODUCTS,3/1/2025,3/1/2029,23,677.6,15584.8
Ortho Instruments,Instrument Set,Large Fragment Instrument Set (Premium Quality),41216,Large Fragment Instrument Set (Premium Quality)..,0.000497512,Baxter,18/03/2025,18/03/2029,33,4121.6,136012.8
Surgery,Forceps,Dissecting Forceps Toothed,199,"Item Code    Size  94351    4""  94352    5""  94353    6""  94354    7""94355    8""  94356    10""  9435..",0.001492537,M/S IMADE TECHNOLOGY PRIVATE LIMITED,25/08/2022,25/08/2026,42,19.9,835.8
Surgery,Suction Units Electric,Suction Unit - SS TOP (35 Ltrs./Min),21000,Housing : Powder coated anti corrosive MSJars : Polycarbonate 2 X 2.5 Ltrs. capacityOverflow Protect..,0.001492537,Dr. Lal PathLabs Limited,30/12/2023,30/12/2027,37,2100,77700
Surgery,Suction Units Electric,Suction Unit - ABS (35 Ltrs./Min),26096,Housing : Complete ABS (Plastic)Jars : Polycarbonate 2 X 2.5 Ltrs. capacityOverflow Protection : Mec..,0.001492537,Trivitron Healthcare Private Limited,20/09/2022,20/09/2026,32,2609.6,83507.2
Laparoscopic Instrument,Vessel Sealer & Clamps,Bipolar Clamp,4999,Bipolar Clamp..,0.000497512,Bard,20/12/2022,20/12/2026,44,499.9,21995.6
Surgery,Retractor,Cloward Spreader,6259,Product SpecificationsDesign: Features narrow prongs for ideal retraction of small incisions.Control..,0.001492537,KLS Martin India,23/04/2024,23/04/2028,41,625.9,25661.9
Surgery,Forceps,Hernia Ring Forceps,765,Hernia Ring Forceps..,0.001492537,Becton Dickinson,30/03/2024,30/03/2028,43,76.5,3289.5
General,Cylinder,Oxygen Cylinder 5.0 Ltrs.,7788,"Empty Oxygen Cylinder, Water capacity 5.0 Litre.Supplied with F A Valve with Flowmeter and Pressure ..",0.00199005,Abbott,20/06/2023,20/06/2026,33,778.8,25700.4
Ortho Instruments,Awl,Orthopedic Bone Awl Curved Diamond Pointed,1199,Orthopedic Bone Awl Curved Diamond Pointed..,0.000497512,Dr. Lal PathLabs Limited,12/6/2024,12/6/2028,16,119.9,1918.4
Anesthesia Equipment,Oxygen Cylinder & Regulators,Oxygen Cylinder 46.7 Ltrs.,16614.4,"Empty Oxygen Cylinder, Water capacity 46.7 Litre.Supplied with F A Valve with Flowmeter and Pressure..",0.00199005,Thyrocare Technologies Limited,20/02/2025,20/02/2028,7,1661.44,11630.08
Sterilizers,Ultraviolet Chamber,"UV Cabinet, 12 Trays",8499,"Features: The Ultraviolet Chamber is fabricated in rust-proof, heavy gauge MS sheet..",0.000995025,Siemens Healthineers,3/3/2023,3/3/2026,39,849.9,33146.1
General,Cylinder,Oxygen Cylinder 10.2 Ltrs.,8437,"Empty Oxygen Cylinder, Water capacity 10.2 Litre.Supplied with F A Valve with Flowmeter and Pressure..",0.00199005,Braun Medical India,4/5/2024,4/5/2027,1,843.7,843.7
Ortho Aid,Pelvic Traction Kit,Leg Traction Kit,982.8,"Size :        Child, Adult        Specifications :        Foam padded heavy duty  fabric with velcro..",0.000497512,AJMERA BIO-MEDICAL ENGINEERS,4/8/2023,4/8/2027,18,98.28,1769.04
Linen,Disposable Gloves,Nitrile Examination Gloves (Pack of 100 Pcs.),749,Thicker and stronger to give the wearer extra protection when hand safety is a paramount concernLa..,0.000497512,Romsons Group Of Industries,24/06/2024,24/06/2028,41,74.9,3070.9
ENT Instruments,Curette,Antrum Curette Forward Cutting,459,Antrum Curette Forward CuttingManufactured from stainless steel.Highly polished finish for aesthetic..,0.000497512,Hindustan Surgical,30/11/2023,30/11/2027,14,45.9,642.6
Opthalmology Instruments,Cautery,Wills Copper Ball Cautery,319,Stainless SteelReusablePremium Grade..,0.000497512,AJMERA BIO-MEDICAL ENGINEERS,17/10/2022,17/10/2026,38,31.9,1212.2
Neurology Instruments,Hammer,IndoSurgicalsÂ® Knee Hammer Set,1299,Medical Neurological Knee Hammer SetIncludesWartenburg PinwheelBabinski HammerTaylor HammerBuck Hamm..,0.000497512,Baxter,12/4/2024,12/4/2028,43,129.9,5585.7
Surgery,Forceps,Kelly Placenta Forceps (PPIUCD Forceps),575,"Kelly Placenta Forceps (PPIUCD Forceps)Made from Stainless SteelSize Approx. 12""..",0.001492537,GPC Medical,9/5/2022,9/5/2026,37,57.5,2127.5
Surgery,Instrument Kit,ICD Set,3808,ICD InstrumentsÂ Set Containing Following Items:-    S.No.Name of Items    Qty.   ..,0.001492537,Johnson & Johnson,4/11/2023,4/11/2027,1,380.8,380.8
Monitor,BP Monitor,Ambulatory Blood Pressure Monitor,30800,"Compact and portable, user-friendly interface, easy to usePatient range: adult, pediatric, neonatal2..",0.000995025,Ben Franklin Opticians,12/10/2024,12/10/2028,34,3080,104720
Surgery,Instrument Kit,ENT Instrument Kit,3360,You can also buy this product from our Amazon store.Buy Now    ENT Instrument Kit Contains..,0.001492537,KLS Martin India,22/02/2024,22/02/2028,40,336,13440
Lab Plasticware,Pipette Accessories,"Universal Reagent Reservoir, 50 ml (6 Pcs.)",1026.6,This Universal Reagent Reservoir has a graduated single reagent reservoir with maximum volume of 50 ..,0.000497512,Boston Scientific,31/01/2024,31/01/2028,3,102.66,307.98
Surgery,Instrument Kit,Hemorrhoid Piles Gun with Forceps,2632,Hemorrhoid Piles Gun with ForcepsManufactured from stainless steel.Highly polished finish for aesthe..,0.001492537,Max Healthcare Institute Limited,10/7/2024,10/7/2028,7,263.2,1842.4
Anesthesia Equipment,Anesthesia Machine,Anesthesia Apparatus,72800,Technical Specification:Two Gases Rotameter Oxygen & Nitrous-OxideOxygen Flowmeter range 100 cc/..,0.00199005,Narang,17/12/2024,17/12/2027,45,7280,327600
Anesthesia Equipment,CPR Mask,Pocket CPR Mask,315,Convenient ready to useCrystal clear maskSafe and hygienicSuitable for supplementary oxygenComfort a..,0.00199005,Bard,17/10/2024,17/10/2027,20,31.5,630
Surgery,Instrument Kit,D&C Kit,3149,D&C Kit Contains Following Items:-1 Set Dilator Set of 8 Pcs1 Pc Vulsellum Forceps1 Pc. Sponge H..,0.001492537,GE Healthcare,1/12/2024,1/12/2028,43,314.9,13540.7
Lab Equipment,Laboratory Hot Plates,Laboratory Round Heating Plate with Regulator Plate,5168.8,This is very useful  for continuous heating upto 350ÂºC.                     The body is made of  s..,0.000497512,Boston Scientific,28/03/2024,28/03/2028,32,516.88,16540.16
Anesthesia Equipment,Rebreathing Bags,"Rebreathing Bag - Green Rubber, 2 Litre",168,Rebreathing Bags - Green Rubber                Capacity : 2 Litre..,0.00199005,Vishal Surgitech,25/01/2025,25/01/2028,45,16.8,756
Surgery,Suction Units Electric,Suction Unit (60 Ltrs./min),31249,Housing : Powder coated anti corrosive MSJars : Polycarbonate 2 X 2.5 Ltrs. capacityOverflow Protect..,0.001492537,Ambu,16/07/2022,16/07/2026,22,3124.9,68747.8
Monitor,BP Monitor,Rossmax GD101 Palm Type Aneroid Blood Pressure Monitor,1900,Superior performance and qualityBig dial face 65mm & easy to readSingle-hand operationNon-stop p..,0.000995025,Opto Circuits India Limited,17/06/2023,17/06/2027,14,190,2660
Anesthesia Equipment,Laryngoscope,LED Laryngoscope Set Miller (Deluxe Quality),2402.4,Stainless Steel blades with removable LED lamp            Handle & Blades are made of stainless ..,0.00199005,Bauch & Lomb,24/02/2024,24/02/2027,2,240.24,480.48
Surgery,Forceps,"Negus Artery Forceps 8""",649,Stainless SteelReusablePremium Grade..,0.001492537,Medtronic,22/05/2022,22/05/2026,35,64.9,2271.5
Surgery,Forceps,Mosquito Artery Forceps Straight/Hemostatic Forceps,336,"Artery Forceps, Clamps and Snaps.Forgings from stainless steel.Silk matte satin finish.To clamp and ..",0.001492537,Baxter,6/11/2024,6/11/2028,43,33.6,1444.8
Ortho Aid,Walkers,"Walker, Non-Folding, Aluminium",2506.35,"Specifications :        Light weight anodized,  polished aluminium tubular construction.        ..",0.000497512,Hindustan Syringes,30/07/2024,30/07/2028,35,250.635,8772.225
Surgery,Forceps,Hartmann Alligator Forceps,1199,Hartmann Alligator Forceps..,0.001492537,Reckitt Benckiser,17/06/2023,17/06/2027,37,119.9,4436.3
Linen,Disposable Shoe & Boot Covers,Disposable Shoe cover Non Woven (Pack of 50 Pairs),531.3,DisposableMade of non woven..,0.000497512,Romsons,24/12/2024,24/12/2028,12,53.13,637.56
Surgery,Instrument Kit,Cesarean Section Set,5992,You can also buy this product from our Amazon store.Buy Now    Cesarean Section Set Containi..,0.001492537,Bauch & Lomb,13/09/2023,13/09/2027,17,599.2,10186.4
Hollowware,Deluxe Quality,"IndoSurgicals Instrument Tray 12x10"" (Deluxe Quality)",749,Stainless steelWith cover                     Item Code             Size (approx.)             Qu..,0.000497512,Karl Storz,16/05/2023,16/05/2027,3,74.9,224.7
Lab Equipment,Laboratory Microscope,Monocular Research Microscope,20366.08,Observation  Head:Â Monocular 45 degree inclined  tube rotatable through 360 degree for any prof..,0.000497512,Siemens Healthineers,7/8/2022,7/8/2026,26,2036.608,52951.808
Surgery,Retractor,Gosset Retractor,2199,High-Quality Material â€“ Made from premium stainless steel for durability and sterilization.Self-Reta..,0.001492537,Ben Franklin Opticians,17/05/2024,17/05/2028,30,219.9,6597
General,Stethoscope,DulcetÂ® II-BR Pediatric/Neonatal Stethoscope,599,Product Details:Soft and comfortable ear tipsAnatomically angled binaural tubeMetal Chrome Plated Ch..,0.00199005,Romsons Group Of Industries,9/1/2023,9/1/2026,19,59.9,1138.1
Surgery,Suction Units Manual,Foot Suction Unit - Plastic,8008,"Housing: Plastic MouldedCapacity: -600 mm Hg Â± 10 , 200 ml / StrokePump Type: Piston PumpJars: 1 x 1..",0.001492537,Hindustan Surgical,10/3/2023,10/3/2027,12,800.8,9609.6
Anesthesia Equipment,Air Cushion Face Masks,Anaesthesia Face Mask Transparent aircushion with valve,252,Anaesthesia Face Masks with low pressure and gas tight seal  Excellent grip  Complete Air tightn..,0.00199005,Shilpa Medicare Limited,20/03/2023,20/03/2026,4,25.2,100.8
Surgery,Instrument Kit,Microsurgery Glaucoma Set,11999,Microsurgery Glaucoma SetPack of 25 Pcs.High quality of surgical instrument kitCarry bag includedS. ..,0.001492537,Olympus,13/01/2024,13/01/2028,13,1199.9,15598.7
General,Baby Weighing Scales,Baby Weighing Scales - Digital,5929.5,Capacity : 25 Kg Graduation : 10 gm Design with handle..,0.00199005,Karl Storz,28/12/2023,28/12/2026,48,592.95,28461.6
General,Cylinder,Oxygen Cylinder 10.2 Ltrs.,8437,"Empty Oxygen Cylinder, Water capacity 10.2 Litre.Supplied with F A Valve with Flowmeter and Pressure..",0.00199005,Thyrocare Technologies Limited,27/11/2024,27/11/2027,10,843.7,8437
